"Taxon","model","r","r_SE","K","K_SE","AIC","R2","w","z","c_1","c_2","c_3","c_4","t1_1","t1_2","t1_3","t1_4","t2_1","t2_2","t2_3","t2_4","p1_1","p1_2","p1_3","p1_4","rel_maxK_1","rel_maxK_2","rel_maxK_3","rel_maxK_4","S_1","S_2","S_3","S_4"
"Honeycreepers","Single K",3.79482629888429,1.77816023930762,17.9480915096358,3.14905974357167,28.002373240549,0.156754465239731,0.0535974,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.325620635451585,0.218108973116595,0.207476715471438,0.93255541513427,1,0.711135116265095,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K",3.07911015242759,0.49553807964684,28.4973946954756,3.51560075049614,25.0742664748662,0.594455143672891,0.231726,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.325620635451585,0.218108973116595,0.207476715471438,0.93255541513427,1,0.711135116265095,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K + Ontogeny",7.09673377804284,1.01212978353589,28.8114401044387,2.49574705353149,22.8217149525935,0.769074855859739,0.714677,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.325620635451585,0.218108973116595,0.207476715471438,0.93255541513427,1,0.711135116265095,0.708599932163306,14,24,16,14
"Honeycreepers","Exponential",0.478313140361998,0.140691280375738,NA,NA,36.0467684198567,-9.38748477522937,NA,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.325620635451585,0.218108973116595,0.207476715471438,0.93255541513427,1,0.711135116265095,0.708599932163306,14,24,16,14
"Ariamnes","Single K",2.54001467130511,7.11500412484364,2.84900589447308,1.10157439548503,19.2873925583177,0.0385157267818663,0.0616944,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,2,5,2,2
"Ariamnes","Varying K",1.31195535259389,0.866952452804592,6.63202170671146,2.52716073259231,18.1922284546705,0.268799881299961,0.106674,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,2,5,2,2
"Ariamnes","Varying K + Ontogeny",2.82778874482951,1.9108143317095,6.52728290453967,1.58947463956576,14.0849975973925,0.738121811003019,0.831632,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,2,5,2,2
"Ariamnes","Exponential",0.166843209845464,0.118036719971769,NA,NA,20.3575499121612,-1.07147780468224,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,2,5,2,2
"Laupala","Single K",2.8576323325817,1.28596096526644,10.0188026436201,1.64103274485122,22.5107645661123,0.299833986866682,0.315271,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,11,12,7
"Laupala","Varying K",2.04800123959133,0.456531266878687,22.831899120275,3.96941853691096,22.2223877331577,0.348535268818393,0.364171,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,11,12,7
"Laupala","Varying K + Ontogeny",5.5270087248219,1.52505599927184,20.2707258505919,3.13467487650219,22.4775066530376,0.305631367471845,0.320558,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,11,12,7
"Laupala","Exponential",0.384031352517845,0.12033519902974,NA,NA,30.3894128483411,-7.27487867992262,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,11,12,7
"Megalagrion","Single K",2.76642096994708,0.455278451140875,10.0800841046196,0.620161542314719,14.6684565434952,0.766254478366768,0.711896,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,10,9,11
"Megalagrion","Varying K",1.90964649246375,0.215751321882812,23.4754489497866,2.05068930068036,16.5545056769223,0.625442513734467,0.277247,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,10,9,11
"Megalagrion","Varying K + Ontogeny",5.47834345014609,1.67443128026495,19.8386335628109,3.36141569328251,23.0346037749406,-0.892719224276978,0.0108575,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,10,9,11
"Megalagrion","Exponential",0.423069637672434,0.0743065950202839,NA,NA,28.351713956417,-10.7904759588908,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,10,9,11
"Orsonwelles","Single K",0.371488808827097,0.199847568340089,13.0411564345411,24.6972746281495,13.4075930241992,0.882957214247928,0.04726,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,1,3,3,6
"Orsonwelles","Varying K",0.378284318034346,0.181333543101022,29.6988547665589,46.1683494461006,13.204493116367,0.888751706547042,0.0523114,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,1,3,3,6
"Orsonwelles","Varying K + Ontogeny",0.908252200508649,0.161470054447986,47.5785938235744,50.3016536815426,7.51318060370066,0.973185669814821,0.900429,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,1,3,3,6
"Orsonwelles","Exponential",0.299212864849439,0.0182080964570985,NA,NA,11.3669559459331,0.884140263824154,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,1,3,3,6
"Platynini","Single K",3.1493713500025,2.25955755858343,41.4801682708724,16.1208467345548,40.6347503723919,0.349810263038425,0.0490709,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1.14,3.13,2.35,0,0.96,0.8,3.65,0,0.495029842754115,0.347348031907254,0.3318794753335,0.885943888449071,1,0.553653439892474,0.550234787524507,7,70,33,27
