"Taxon","model","r","r_SE","K","K_SE","AIC","R2","w","z","c_1","c_2","c_3","c_4","t1_1","t1_2","t1_3","t1_4","t2_1","t2_2","t2_3","t2_4","p1_1","p1_2","p1_3","p1_4","rel_maxK_1","rel_maxK_2","rel_maxK_3","rel_maxK_4","S_1","S_2","S_3","S_4"
"Honeycreepers","Single K",3.46935094673211,1.59588280082729,17.9592609402708,3.09625358108971,27.9488325370158,0.167966251773729,0.0489312,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.325620635451585,0.233089662832448,0.207476715471438,0.93255541513427,1,0.725026302765672,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K",2.78504847642157,0.429064472757017,28.4831679427784,3.26876255247765,24.6827138855958,0.632272071533034,0.250504,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.325620635451585,0.233089662832448,0.207476715471438,0.93255541513427,1,0.725026302765672,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K + Ontogeny",6.48679062325636,0.898380859903783,28.9220376182658,2.44055582242177,22.625891245801,0.780107744212528,0.700565,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.325620635451585,0.233089662832448,0.207476715471438,0.93255541513427,1,0.725026302765672,0.708599932163306,14,24,16,14
"Honeycreepers","Exponential",0.470600581886663,0.130254994067384,NA,NA,35.8654755212553,-8.92720005330889,NA,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.325620635451585,0.233089662832448,0.207476715471438,0.93255541513427,1,0.725026302765672,0.708599932163306,14,24,16,14
"Ariamnes","Single K",2.09934871901851,5.96520589972514,2.68203624395384,1.09681984201572,19.3131862884154,0.0322956269294278,0.0531485,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.495029842754115,0.368882029604239,0.3318794753335,0.885943888449071,1,0.572544316810614,0.550234787524507,2,5,2,2
"Ariamnes","Varying K",1.09859793764922,0.746211405194203,6.79087905825512,2.48448076607166,17.8395898517668,0.330502432544352,0.11104,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.495029842754115,0.368882029604239,0.3318794753335,0.885943888449071,1,0.572544316810614,0.550234787524507,2,5,2,2
"Ariamnes","Varying K + Ontogeny",2.53761874774503,1.76954538761541,6.44342663895896,1.42306318473886,13.8025576652999,0.755975291348062,0.835812,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.495029842754115,0.368882029604239,0.3318794753335,0.885943888449071,1,0.572544316810614,0.550234787524507,2,5,2,2
"Ariamnes","Exponential",0.168600208318502,0.106848540508977,NA,NA,20.1472410581804,-0.965378906310302,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.495029842754115,0.368882029604239,0.3318794753335,0.885943888449071,1,0.572544316810614,0.550234787524507,2,5,2,2
"Laupala","Single K",2.59402761871467,1.1496546064658,10.0072979993346,1.5911126587412,22.4418526534353,0.311793120022343,0.351873,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.495029842754115,0.368882029604239,0.3318794753335,0.885943888449071,1,0.572544316810614,0.550234787524507,7,11,12,7
"Laupala","Varying K",1.86271641515263,0.455060959965722,22.3354437404843,3.82951240720594,22.372915069305,0.32355232746235,0.364214,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.2,1.52,2.835,2.325,0,1.03,1.3,3.825,0,0.495029842754115,0.368882029604239,0.3318794753335,0.885943888449071,1,0.572544316810614,0.550234787524507,7,11,12,7
