"Taxon","model","r","r_SE","K","K_SE","AIC","R2","w","z","c_1","c_2","c_3","c_4","t1_1","t1_2","t1_3","t1_4","t2_1","t2_2","t2_3","t2_4","p1_1","p1_2","p1_3","p1_4","rel_maxK_1","rel_maxK_2","rel_maxK_3","rel_maxK_4","S_1","S_2","S_3","S_4"
"Honeycreepers","Single K",3.79482628509653,1.7781602050779,17.9480915147492,3.14905972954386,28.0023732416355,0.156754465010675,0.0528147,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1,2.13,2,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K",3.0791101616775,0.495538074118914,28.4973946220866,3.51560074072062,25.0742664782632,0.594455143328486,0.228342,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1,2.13,2,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K + Ontogeny",7.04811101278566,0.989634418092073,29.1837053351452,2.51839383360803,22.7806658545677,0.771432554711364,0.718844,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1,2.13,2,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Honeycreepers","Exponential",0.478313139512156,0.140691281373993,NA,NA,36.0467684198908,-9.38748477531799,NA,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.1,1,2.13,2,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Ariamnes","Single K",2.54001490985541,7.11500575458341,2.84900586589543,1.10157438031924,19.2873925722887,0.0385157234236462,0.0672635,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Ariamnes","Varying K",1.31195528261605,0.866952420217865,6.63202178699406,2.52716080822313,18.1922284812368,0.268799876443631,0.116303,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Ariamnes","Varying K + Ontogeny",3.14608988595633,2.05617427673937,6.4159416061544,1.24570899600224,14.2947368449455,0.724023896611052,0.816433,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Ariamnes","Exponential",0.166843209684876,0.118036720097444,NA,NA,20.3575499122081,-1.07147780470657,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Laupala","Single K",2.8576323568658,1.28596098812493,10.0188026496143,1.64103274625984,22.510764565087,0.299833987046157,0.338592,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,11,12,7
"Laupala","Varying K",2.04800123509572,0.456531272958957,22.8318991340787,3.96941852305436,22.2223877331563,0.348535268818618,0.391108,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,11,12,7
"Laupala","Varying K + Ontogeny",5.34880507534423,1.59237591929497,20.6837383783061,3.38542373326298,22.9612959923734,0.216359534604307,0.270299,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,11,12,7
"Laupala","Exponential",0.384031353130465,0.120335197423839,NA,NA,30.3894128482825,-7.2748786798015,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,11,12,7
"Megalagrion","Single K",2.76642097929561,0.455278452059298,10.0800840994441,0.620161541698969,14.668456543006,0.766254478395354,0.71158,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,10,9,11
"Megalagrion","Varying K",1.909646489588,0.215751322035234,23.4754489452968,2.05068929083374,16.5545056752711,0.625442513889086,0.277123,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,10,9,11
"Megalagrion","Varying K + Ontogeny",5.43469825306681,1.61421840600251,20.2703243314247,3.37601186669903,22.9543422838455,-0.855119594300791,0.0112971,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,10,9,11
"Megalagrion","Exponential",0.423069637623139,0.0743065950557536,NA,NA,28.3517139564143,-10.7904759588828,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,10,9,11
"Orsonwelles","Single K",0.371488809151326,0.199847567916906,13.0411564328037,24.697274620656,13.407593016321,0.882957214478449,0.0290916,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,1,3,3,6
"Orsonwelles","Varying K",0.378284317740508,0.181333549415964,29.6988546277643,46.1683513851595,13.2044931375743,0.888751705957224,0.0322011,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,1,3,3,6
"Orsonwelles","Varying K + Ontogeny",0.810180053053409,0.13463530419807,85.2462415664783,172.314138757729,6.45948726792711,0.979395425400685,0.938707,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,1,3,3,6
"Orsonwelles","Exponential",0.299212864831575,0.0182080962248401,NA,NA,11.3669559459331,0.884140263824154,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.1,1,2.13,2,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,1,3,3,6
