"Taxon","model","r","r_SE","K","K_SE","AIC","R2","w","z","c_1","c_2","c_3","c_4","t1_1","t1_2","t1_3","t1_4","t2_1","t2_2","t2_3","t2_4","p1_1","p1_2","p1_3","p1_4","rel_maxK_1","rel_maxK_2","rel_maxK_3","rel_maxK_4","S_1","S_2","S_3","S_4"
"Honeycreepers","Single K",3.16977569441264,1.42372474516646,17.9828730585424,3.07634113260546,27.9278049904168,0.172328682428914,0.0466282,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K",2.55058576948913,0.384952125098063,28.482153569873,3.15607359080159,24.4963447717843,0.64901234164615,0.259287,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Honeycreepers","Varying K + Ontogeny",5.97972393675116,0.816413937192888,28.9718505981879,2.41329908877278,22.5270267214116,0.785476015306606,0.694085,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Honeycreepers","Exponential",0.465680770717542,0.118345829749394,NA,NA,35.6573709029795,-8.42393109545149,NA,0.271,1,0.723152054670464,0.59624356610412,0.60219686309357,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.325620635451585,0.244986463662243,0.207476715471438,0.93255541513427,1,0.736450592669406,0.708599932163306,14,24,16,14
"Ariamnes","Single K",1.75301064698066,3.85287492700298,2.88091074257172,1.08278906643835,19.1872109826747,0.0622974250241165,0.0509151,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Ariamnes","Varying K",1.03890620599539,0.683234865539309,6.75246165830059,2.28738707999036,17.4839954364171,0.387451006925813,0.119315,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Ariamnes","Varying K + Ontogeny",2.2472431251315,1.63636803771643,6.38485067056895,1.36755890662278,13.6052340571044,0.767721151506547,0.82977,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Ariamnes","Exponential",0.170016754751195,0.0965798197864099,NA,NA,19.9215173011799,-0.857542012502336,NA,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,2,5,2,2
"Laupala","Single K",2.37012541148345,1.03779615893862,10.0063051105957,1.5677737621764,22.4105636846305,0.317155440893548,0.377762,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,11,12,7
"Laupala","Varying K",1.72570283162213,0.441870187021681,21.9790895207415,3.72216480212861,22.5201974254272,0.298180896587038,0.357612,0.47,1,0.569979841646498,0.407862181678015,0.41495083348246,1.3,1.9,2.54,2.3,0,1.1,1.8,4,0,0.495029842754115,0.385764680493237,0.3318794753335,0.885943888449071,1,0.58828106380679,0.550234787524507,7,11,12,7
